Region,Country_Territory,Data_collection,Year,received
Oceania,American Samoa,ARQ,2017,0
Oceania,American Samoa,ARQ,2018,0
Oceania,American Samoa,ARQ,2019,0
Oceania,American Samoa,ARQ,2020,0
Oceania,American Samoa,ARQ,2021,0
Oceania,American Samoa,ARQ,2022,0
Oceania,American Samoa,GLOTIP,2017,0
Oceania,American Samoa,GLOTIP,2018,0
Oceania,American Samoa,GLOTIP,2019,0
Oceania,American Samoa,GLOTIP,2020,0
Oceania,American Samoa,GLOTIP,2021,0
Oceania,American Samoa,GLOTIP,2022,0
Oceania,American Samoa,IDS,2017,0
Oceania,American Samoa,IDS,2018,0
Oceania,American Samoa,IDS,2019,0
Oceania,American Samoa,IDS,2020,0
Oceania,American Samoa,IDS,2021,0
Oceania,American Samoa,IDS,2022,0
Oceania,American Samoa,UN-CTS,2017,0
Oceania,American Samoa,UN-CTS,2018,0
Oceania,American Samoa,UN-CTS,2019,0
Oceania,American Samoa,UN-CTS,2020,0
Oceania,American Samoa,UN-CTS,2021,0
Oceania,American Samoa,UN-CTS,2022,0
Oceania,American Samoa,UN-IAFQ,2017,0
Oceania,American Samoa,UN-IAFQ,2018,0
Oceania,American Samoa,UN-IAFQ,2019,0
Oceania,American Samoa,UN-IAFQ,2020,0
Oceania,American Samoa,UN-IAFQ,2021,0
Oceania,American Samoa,UN-IAFQ,2022,0
Americas,Anguilla,ARQ,2019,0
Americas,Anguilla,ARQ,2020,0
Americas,Anguilla,ARQ,2021,0
Americas,Anguilla,ARQ,2022,0
Americas,Anguilla,GLOTIP,2019,0
Americas,Anguilla,GLOTIP,2020,0
Americas,Anguilla,GLOTIP,2021,0
Americas,Anguilla,GLOTIP,2022,0
Americas,Anguilla,IDS,2019,0
Americas,Anguilla,IDS,2020,0
Americas,Anguilla,IDS,2021,0
Americas,Anguilla,IDS,2022,0
Americas,Anguilla,UN-CTS,2019,0
Americas,Anguilla,UN-CTS,2020,0
Americas,Anguilla,UN-CTS,2021,0
Americas,Anguilla,UN-CTS,2022,0
Americas,Anguilla,UN-IAFQ,2019,0
Americas,Anguilla,UN-IAFQ,2020,0
Americas,Anguilla,UN-IAFQ,2021,0
Americas,Anguilla,UN-IAFQ,2022,0
Americas,Antigua and Barbuda,ARQ,2017,0
Americas,Antigua and Barbuda,ARQ,2018,0
Americas,Antigua and Barbuda,ARQ,2019,0
Americas,Antigua and Barbuda,ARQ,2020,0
Americas,Antigua and Barbuda,ARQ,2021,0
Americas,Antigua and Barbuda,ARQ,2022,0
Americas,Antigua and Barbuda,GLOTIP,2017,0
Americas,Antigua and Barbuda,GLOTIP,2018,0
Americas,Antigua and Barbuda,GLOTIP,2019,0
Americas,Antigua and Barbuda,GLOTIP,2020,0
Americas,Antigua and Barbuda,GLOTIP,2021,0
Americas,Antigua and Barbuda,GLOTIP,2022,0
Americas,Antigua and Barbuda,IDS,2017,0
Americas,Antigua and Barbuda,IDS,2018,0
Americas,Antigua and Barbuda,IDS,2019,0
Americas,Antigua and Barbuda,IDS,2020,0
Americas,Antigua and Barbuda,IDS,2021,0
Americas,Antigua and Barbuda,IDS,2022,1
Americas,Antigua and Barbuda,UN-CTS,2017,0
Americas,Antigua and Barbuda,UN-CTS,2018,0
Americas,Antigua and Barbuda,UN-CTS,2019,1
Americas,Antigua and Barbuda,UN-CTS,2020,0
Americas,Antigua and Barbuda,UN-CTS,2021,1
Americas,Antigua and Barbuda,UN-CTS,2022,1
Americas,Antigua and Barbuda,UN-IAFQ,2017,0
Americas,Antigua and Barbuda,UN-IAFQ,2018,0
Americas,Antigua and Barbuda,UN-IAFQ,2019,0
Americas,Antigua and Barbuda,UN-IAFQ,2020,0
Americas,Antigua and Barbuda,UN-IAFQ,2021,0
Americas,Antigua and Barbuda,UN-IAFQ,2022,0
Americas,Aruba,ARQ,2019,0
Americas,Aruba,ARQ,2020,0
Americas,Aruba,ARQ,2021,0
Americas,Aruba,ARQ,2022,0
Americas,Aruba,GLOTIP,2019,0
Americas,Aruba,GLOTIP,2020,0
Americas,Aruba,GLOTIP,2021,0
Americas,Aruba,GLOTIP,2022,0
Americas,Aruba,IDS,2019,0
Americas,Aruba,IDS,2020,0
Americas,Aruba,IDS,2021,0
Americas,Aruba,IDS,2022,0
Americas,Aruba,UN-CTS,2019,0
Americas,Aruba,UN-CTS,2020,0
Americas,Aruba,UN-CTS,2021,0
Americas,Aruba,UN-CTS,2022,0
Americas,Aruba,UN-IAFQ,2019,0
Americas,Aruba,UN-IAFQ,2020,0
Americas,Aruba,UN-IAFQ,2021,0
Americas,Aruba,UN-IAFQ,2022,0
Americas,Bahamas,ARQ,2017,0
Americas,Bahamas,ARQ,2018,1
Americas,Bahamas,ARQ,2019,1
Americas,Bahamas,ARQ,2020,1
Americas,Bahamas,ARQ,2021,1
Americas,Bahamas,ARQ,2022,0
Americas,Bahamas,GLOTIP,2017,0
Americas,Bahamas,GLOTIP,2018,0
Americas,Bahamas,GLOTIP,2019,0
Americas,Bahamas,GLOTIP,2020,0
Americas,Bahamas,GLOTIP,2021,0
Americas,Bahamas,GLOTIP,2022,0
Americas,Bahamas,IDS,2017,0
Americas,Bahamas,IDS,2018,1
Americas,Bahamas,IDS,2019,0
Americas,Bahamas,IDS,2020,1
Americas,Bahamas,IDS,2021,0
Americas,Bahamas,IDS,2022,0
Americas,Bahamas,UN-CTS,2017,0
Americas,Bahamas,UN-CTS,2018,0
Americas,Bahamas,UN-CTS,2019,1
Americas,Bahamas,UN-CTS,2020,1
Americas,Bahamas,UN-CTS,2021,1
Americas,Bahamas,UN-CTS,2022,0
Americas,Bahamas,UN-IAFQ,2017,0
Americas,Bahamas,UN-IAFQ,2018,0
Americas,Bahamas,UN-IAFQ,2019,0
Americas,Bahamas,UN-IAFQ,2020,0
Americas,Bahamas,UN-IAFQ,2021,0
Americas,Bahamas,UN-IAFQ,2022,0
Asia,Bahrain,ARQ,2019,0
Asia,Bahrain,ARQ,2020,0
Asia,Bahrain,ARQ,2021,1
Asia,Bahrain,ARQ,2022,0
Asia,Bahrain,GLOTIP,2019,0
Asia,Bahrain,GLOTIP,2020,0
Asia,Bahrain,GLOTIP,2021,1
Asia,Bahrain,GLOTIP,2022,0
Asia,Bahrain,IDS,2019,0
Asia,Bahrain,IDS,2020,0
Asia,Bahrain,IDS,2021,0
Asia,Bahrain,IDS,2022,0
Asia,Bahrain,UN-CTS,2019,0
Asia,Bahrain,UN-CTS,2020,0
Asia,Bahrain,UN-CTS,2021,0
Asia,Bahrain,UN-CTS,2022,0
Asia,Bahrain,UN-IAFQ,2019,0
Asia,Bahrain,UN-IAFQ,2020,0
Asia,Bahrain,UN-IAFQ,2021,0
Asia,Bahrain,UN-IAFQ,2022,0
Americas,Barbados,ARQ,2019,0
Americas,Barbados,ARQ,2020,0
Americas,Barbados,ARQ,2021,0
Americas,Barbados,ARQ,2022,0
Americas,Barbados,GLOTIP,2019,0
Americas,Barbados,GLOTIP,2020,0
Americas,Barbados,GLOTIP,2021,0
Americas,Barbados,GLOTIP,2022,0
Americas,Barbados,IDS,2019,0
Americas,Barbados,IDS,2020,0
Americas,Barbados,IDS,2021,0
Americas,Barbados,IDS,2022,0
Americas,Barbados,UN-CTS,2019,1
Americas,Barbados,UN-CTS,2020,1
Americas,Barbados,UN-CTS,2021,1
Americas,Barbados,UN-CTS,2022,0
Americas,Barbados,UN-IAFQ,2019,0
Americas,Barbados,UN-IAFQ,2020,0
Americas,Barbados,UN-IAFQ,2021,0
Americas,Barbados,UN-IAFQ,2022,0
Americas,Belize,ARQ,2019,0
Americas,Belize,ARQ,2020,0
Americas,Belize,ARQ,2021,0
Americas,Belize,ARQ,2022,0
Americas,Belize,GLOTIP,2019,0
Americas,Belize,GLOTIP,2020,0
Americas,Belize,GLOTIP,2021,0
Americas,Belize,GLOTIP,2022,0
Americas,Belize,IDS,2019,0
Americas,Belize,IDS,2020,0
Americas,Belize,IDS,2021,0
Americas,Belize,IDS,2022,0
Americas,Belize,UN-CTS,2019,1
Americas,Belize,UN-CTS,2020,1
Americas,Belize,UN-CTS,2021,1
Americas,Belize,UN-CTS,2022,0
Americas,Belize,UN-IAFQ,2019,0
Americas,Belize,UN-IAFQ,2020,0
Americas,Belize,UN-IAFQ,2021,0
Americas,Belize,UN-IAFQ,2022,0
Americas,Bermuda,ARQ,2019,0
Americas,Bermuda,ARQ,2020,0
Americas,Bermuda,ARQ,2021,0
Americas,Bermuda,ARQ,2022,0
Americas,Bermuda,GLOTIP,2019,0
Americas,Bermuda,GLOTIP,2020,0
Americas,Bermuda,GLOTIP,2021,0
Americas,Bermuda,GLOTIP,2022,0
Americas,Bermuda,IDS,2019,0
Americas,Bermuda,IDS,2020,0
Americas,Bermuda,IDS,2021,0
Americas,Bermuda,IDS,2022,0
Americas,Bermuda,UN-CTS,2019,1
Americas,Bermuda,UN-CTS,2020,1
Americas,Bermuda,UN-CTS,2021,0
Americas,Bermuda,UN-CTS,2022,1
Americas,Bermuda,UN-IAFQ,2019,0
Americas,Bermuda,UN-IAFQ,2020,0
Americas,Bermuda,UN-IAFQ,2021,0
Americas,Bermuda,UN-IAFQ,2022,0
Americas,British Virgin Islands,ARQ,2019,0
Americas,British Virgin Islands,ARQ,2020,0
Americas,British Virgin Islands,ARQ,2021,0
Americas,British Virgin Islands,ARQ,2022,0
Americas,British Virgin Islands,GLOTIP,2019,0
Americas,British Virgin Islands,GLOTIP,2020,0
Americas,British Virgin Islands,GLOTIP,2021,0
Americas,British Virgin Islands,GLOTIP,2022,0
Americas,British Virgin Islands,IDS,2019,0
Americas,British Virgin Islands,IDS,2020,0
Americas,British Virgin Islands,IDS,2021,0
Americas,British Virgin Islands,IDS,2022,0
Americas,British Virgin Islands,UN-CTS,2019,0
Americas,British Virgin Islands,UN-CTS,2020,0
Americas,British Virgin Islands,UN-CTS,2021,0
Americas,British Virgin Islands,UN-CTS,2022,0
Americas,British Virgin Islands,UN-IAFQ,2019,0
Americas,British Virgin Islands,UN-IAFQ,2020,0
Americas,British Virgin Islands,UN-IAFQ,2021,0
Americas,British Virgin Islands,UN-IAFQ,2022,0
Africa,Cabo Verde,ARQ,2019,0
Africa,Cabo Verde,ARQ,2020,0
Africa,Cabo Verde,ARQ,2021,0
Africa,Cabo Verde,ARQ,2022,0
Africa,Cabo Verde,GLOTIP,2019,0
Africa,Cabo Verde,GLOTIP,2020,0
Africa,Cabo Verde,GLOTIP,2021,0
Africa,Cabo Verde,GLOTIP,2022,0
Africa,Cabo Verde,IDS,2019,0
Africa,Cabo Verde,IDS,2020,0
Africa,Cabo Verde,IDS,2021,0
Africa,Cabo Verde,IDS,2022,0
Africa,Cabo Verde,UN-CTS,2019,1
Africa,Cabo Verde,UN-CTS,2020,0
Africa,Cabo Verde,UN-CTS,2021,0
Africa,Cabo Verde,UN-CTS,2022,0
Africa,Cabo Verde,UN-IAFQ,2019,0
Africa,Cabo Verde,UN-IAFQ,2020,0
Africa,Cabo Verde,UN-IAFQ,2021,0
Africa,Cabo Verde,UN-IAFQ,2022,0
Americas,Cayman Islands,ARQ,2019,0
Americas,Cayman Islands,ARQ,2020,0
Americas,Cayman Islands,ARQ,2021,0
Americas,Cayman Islands,ARQ,2022,0
Americas,Cayman Islands,GLOTIP,2019,0
Americas,Cayman Islands,GLOTIP,2020,0
Americas,Cayman Islands,GLOTIP,2021,0
Americas,Cayman Islands,GLOTIP,2022,0
Americas,Cayman Islands,IDS,2019,0
Americas,Cayman Islands,IDS,2020,0
Americas,Cayman Islands,IDS,2021,0
Americas,Cayman Islands,IDS,2022,0
Americas,Cayman Islands,UN-CTS,2019,0
Americas,Cayman Islands,UN-CTS,2020,0
Americas,Cayman Islands,UN-CTS,2021,0
Americas,Cayman Islands,UN-CTS,2022,0
Americas,Cayman Islands,UN-IAFQ,2019,0
Americas,Cayman Islands,UN-IAFQ,2020,0
Americas,Cayman Islands,UN-IAFQ,2021,0
Americas,Cayman Islands,UN-IAFQ,2022,0
Africa,Comoros,ARQ,2019,0
Africa,Comoros,ARQ,2020,0
Africa,Comoros,ARQ,2021,0
Africa,Comoros,ARQ,2022,0
Africa,Comoros,GLOTIP,2019,0
Africa,Comoros,GLOTIP,2020,0
Africa,Comoros,GLOTIP,2021,0
Africa,Comoros,GLOTIP,2022,0
Africa,Comoros,IDS,2019,0
Africa,Comoros,IDS,2020,0
Africa,Comoros,IDS,2021,0
Africa,Comoros,IDS,2022,0
Africa,Comoros,UN-CTS,2019,0
Africa,Comoros,UN-CTS,2020,0
Africa,Comoros,UN-CTS,2021,0
Africa,Comoros,UN-CTS,2022,0
Africa,Comoros,UN-IAFQ,2019,0
Africa,Comoros,UN-IAFQ,2020,0
Africa,Comoros,UN-IAFQ,2021,0
Africa,Comoros,UN-IAFQ,2022,0
Oceania,Cook Islands,ARQ,2019,0
Oceania,Cook Islands,ARQ,2020,0
Oceania,Cook Islands,ARQ,2021,0
Oceania,Cook Islands,ARQ,2022,0
Oceania,Cook Islands,GLOTIP,2019,0
Oceania,Cook Islands,GLOTIP,2020,0
Oceania,Cook Islands,GLOTIP,2021,0
Oceania,Cook Islands,GLOTIP,2022,0
Oceania,Cook Islands,IDS,2019,0
Oceania,Cook Islands,IDS,2020,0
Oceania,Cook Islands,IDS,2022,0
Oceania,Cook Islands,UN-CTS,2019,0
Oceania,Cook Islands,UN-CTS,2020,0
Oceania,Cook Islands,UN-CTS,2021,0
Oceania,Cook Islands,UN-CTS,2022,0
Oceania,Cook Islands,UN-IAFQ,2019,0
Oceania,Cook Islands,UN-IAFQ,2020,0
Oceania,Cook Islands,UN-IAFQ,2021,0
Oceania,Cook Islands,UN-IAFQ,2022,0
Americas,Cuba,ARQ,2019,0
Americas,Cuba,ARQ,2020,0
Americas,Cuba,ARQ,2021,0
Americas,Cuba,ARQ,2022,0
Americas,Cuba,GLOTIP,2019,0
Americas,Cuba,GLOTIP,2020,0
Americas,Cuba,GLOTIP,2021,0
Americas,Cuba,GLOTIP,2022,0
Americas,Cuba,IDS,2019,1
Americas,Cuba,IDS,2020,0
Americas,Cuba,IDS,2021,0
Americas,Cuba,IDS,2022,0
Americas,Cuba,UN-CTS,2019,0
Americas,Cuba,UN-CTS,2020,0
Americas,Cuba,UN-CTS,2021,0
Americas,Cuba,UN-CTS,2022,0
Americas,Cuba,UN-IAFQ,2019,0
Americas,Cuba,UN-IAFQ,2020,0
Americas,Cuba,UN-IAFQ,2021,0
Americas,Cuba,UN-IAFQ,2022,0
Americas,Curaçao,ARQ,2019,0
Americas,Curaçao,ARQ,2020,0
Americas,Curaçao,ARQ,2021,0
Americas,Curaçao,ARQ,2022,0
Americas,Curaçao,GLOTIP,2019,0
Americas,Curaçao,GLOTIP,2020,0
Americas,Curaçao,GLOTIP,2021,0
Americas,Curaçao,GLOTIP,2022,0
Americas,Curaçao,IDS,2019,0
Americas,Curaçao,IDS,2020,0
Americas,Curaçao,IDS,2021,0
Americas,Curaçao,IDS,2022,0
Americas,Curaçao,UN-CTS,2019,0
Americas,Curaçao,UN-CTS,2020,0
Americas,Curaçao,UN-CTS,2021,0
Americas,Curaçao,UN-CTS,2022,0
Americas,Curaçao,UN-IAFQ,2019,0
Americas,Curaçao,UN-IAFQ,2020,0
Americas,Curaçao,UN-IAFQ,2021,0
Americas,Curaçao,UN-IAFQ,2022,0
Americas,Dominica,ARQ,2019,0
Americas,Dominica,ARQ,2020,0
Americas,Dominica,ARQ,2021,0
Americas,Dominica,ARQ,2022,0
Americas,Dominica,GLOTIP,2019,0
Americas,Dominica,GLOTIP,2020,0
Americas,Dominica,GLOTIP,2021,0
Americas,Dominica,GLOTIP,2022,0
Americas,Dominica,IDS,2019,0
Americas,Dominica,IDS,2020,0
Americas,Dominica,IDS,2021,0
Americas,Dominica,IDS,2022,0
Americas,Dominica,UN-CTS,2019,1
Americas,Dominica,UN-CTS,2020,1
Americas,Dominica,UN-CTS,2021,1
Americas,Dominica,UN-CTS,2022,1
Americas,Dominica,UN-IAFQ,2019,0
Americas,Dominica,UN-IAFQ,2020,0
Americas,Dominica,UN-IAFQ,2021,0
Americas,Dominica,UN-IAFQ,2022,0
Americas,Dominican Republic,ARQ,2019,0
Americas,Dominican Republic,ARQ,2020,0
Americas,Dominican Republic,ARQ,2021,1
Americas,Dominican Republic,ARQ,2022,0
Americas,Dominican Republic,GLOTIP,2019,0
Americas,Dominican Republic,GLOTIP,2020,0
Americas,Dominican Republic,GLOTIP,2021,1
Americas,Dominican Republic,GLOTIP,2022,1
Americas,Dominican Republic,IDS,2019,0
Americas,Dominican Republic,IDS,2020,0
Americas,Dominican Republic,IDS,2021,1
Americas,Dominican Republic,IDS,2022,0
Americas,Dominican Republic,UN-CTS,2019,1
Americas,Dominican Republic,UN-CTS,2020,1
Americas,Dominican Republic,UN-CTS,2021,1
Americas,Dominican Republic,UN-CTS,2022,0
Americas,Dominican Republic,UN-IAFQ,2019,0
Americas,Dominican Republic,UN-IAFQ,2020,0
Americas,Dominican Republic,UN-IAFQ,2021,1
Americas,Dominican Republic,UN-IAFQ,2022,0
Oceania,Fiji,ARQ,2019,0
Oceania,Fiji,ARQ,2020,0
Oceania,Fiji,ARQ,2021,0
Oceania,Fiji,ARQ,2022,0
Oceania,Fiji,GLOTIP,2019,0
Oceania,Fiji,GLOTIP,2020,0
Oceania,Fiji,GLOTIP,2021,1
Oceania,Fiji,GLOTIP,2022,0
Oceania,Fiji,IDS,2019,0
Oceania,Fiji,IDS,2020,0
Oceania,Fiji,IDS,2021,0
Oceania,Fiji,IDS,2022,0
Oceania,Fiji,UN-CTS,2019,0
Oceania,Fiji,UN-CTS,2020,0
Oceania,Fiji,UN-CTS,2021,0
Oceania,Fiji,UN-CTS,2022,0
Oceania,Fiji,UN-IAFQ,2019,0
Oceania,Fiji,UN-IAFQ,2020,0
Oceania,Fiji,UN-IAFQ,2021,0
Oceania,Fiji,UN-IAFQ,2022,0
Oceania,French Polynesia,ARQ,2019,0
Oceania,French Polynesia,ARQ,2020,0
Oceania,French Polynesia,ARQ,2021,0
Oceania,French Polynesia,ARQ,2022,0
Oceania,French Polynesia,GLOTIP,2019,0
Oceania,French Polynesia,GLOTIP,2020,0
Oceania,French Polynesia,GLOTIP,2021,0
Oceania,French Polynesia,GLOTIP,2022,0
Oceania,French Polynesia,IDS,2019,0
Oceania,French Polynesia,IDS,2020,0
Oceania,French Polynesia,IDS,2021,0
Oceania,French Polynesia,IDS,2022,0
Oceania,French Polynesia,UN-CTS,2019,0
Oceania,French Polynesia,UN-CTS,2020,0
Oceania,French Polynesia,UN-CTS,2021,0
Oceania,French Polynesia,UN-CTS,2022,0
Oceania,French Polynesia,UN-IAFQ,2019,0
Oceania,French Polynesia,UN-IAFQ,2020,0
Oceania,French Polynesia,UN-IAFQ,2021,0
Oceania,French Polynesia,UN-IAFQ,2022,0
Americas,Grenada,ARQ,2019,0
Americas,Grenada,ARQ,2020,0
Americas,Grenada,ARQ,2021,0
Americas,Grenada,ARQ,2022,0
Americas,Grenada,GLOTIP,2019,0
Americas,Grenada,GLOTIP,2020,0
Americas,Grenada,GLOTIP,2021,0
Americas,Grenada,GLOTIP,2022,0
Americas,Grenada,IDS,2019,0
Americas,Grenada,IDS,2020,0
Americas,Grenada,IDS,2021,0
Americas,Grenada,IDS,2022,0
Americas,Grenada,UN-CTS,2019,1
Americas,Grenada,UN-CTS,2020,1
Americas,Grenada,UN-CTS,2021,1
Americas,Grenada,UN-CTS,2022,0
Americas,Grenada,UN-IAFQ,2019,0
Americas,Grenada,UN-IAFQ,2020,0
Americas,Grenada,UN-IAFQ,2021,0
Americas,Grenada,UN-IAFQ,2022,0
Oceania,Guam,ARQ,2019,0
Oceania,Guam,ARQ,2020,0
Oceania,Guam,ARQ,2021,0
Oceania,Guam,ARQ,2022,0
Oceania,Guam,GLOTIP,2019,0
Oceania,Guam,GLOTIP,2020,0
Oceania,Guam,GLOTIP,2021,0
Oceania,Guam,GLOTIP,2022,0
Oceania,Guam,IDS,2019,0
Oceania,Guam,IDS,2020,0
Oceania,Guam,IDS,2021,0
Oceania,Guam,IDS,2022,0
Oceania,Guam,UN-CTS,2019,0
Oceania,Guam,UN-CTS,2020,0
Oceania,Guam,UN-CTS,2021,0
Oceania,Guam,UN-CTS,2022,0
Oceania,Guam,UN-IAFQ,2019,0
Oceania,Guam,UN-IAFQ,2020,0
Oceania,Guam,UN-IAFQ,2021,0
Oceania,Guam,UN-IAFQ,2022,0
Americas,Guyana,ARQ,2019,0
Americas,Guyana,ARQ,2020,0
Americas,Guyana,ARQ,2021,0
Americas,Guyana,ARQ,2022,0
Americas,Guyana,GLOTIP,2019,0
Americas,Guyana,GLOTIP,2020,0
Americas,Guyana,GLOTIP,2021,1
Americas,Guyana,GLOTIP,2022,1
Americas,Guyana,IDS,2019,0
Americas,Guyana,IDS,2020,0
Americas,Guyana,IDS,2021,0
Americas,Guyana,IDS,2022,0
Americas,Guyana,UN-CTS,2019,1
Americas,Guyana,UN-CTS,2020,1
Americas,Guyana,UN-CTS,2021,1
Americas,Guyana,UN-CTS,2022,1
Americas,Guyana,UN-IAFQ,2019,0
Americas,Guyana,UN-IAFQ,2020,0
Americas,Guyana,UN-IAFQ,2021,0
Americas,Guyana,UN-IAFQ,2022,1
Americas,Haiti,ARQ,2019,0
Americas,Haiti,ARQ,2020,0
Americas,Haiti,ARQ,2021,1
Americas,Haiti,ARQ,2022,0
Americas,Haiti,GLOTIP,2019,0
Americas,Haiti,GLOTIP,2020,0
Americas,Haiti,GLOTIP,2021,0
Americas,Haiti,GLOTIP,2022,0
Americas,Haiti,IDS,2019,0
Americas,Haiti,IDS,2020,0
Americas,Haiti,IDS,2021,0
Americas,Haiti,IDS,2022,0
Americas,Haiti,UN-CTS,2019,1
Americas,Haiti,UN-CTS,2020,0
Americas,Haiti,UN-CTS,2021,0
Americas,Haiti,UN-CTS,2022,0
Americas,Haiti,UN-IAFQ,2019,0
Americas,Haiti,UN-IAFQ,2020,0
Americas,Haiti,UN-IAFQ,2021,0
Americas,Haiti,UN-IAFQ,2022,0
Americas,Jamaica,ARQ,2019,0
Americas,Jamaica,ARQ,2020,0
Americas,Jamaica,ARQ,2021,0
Americas,Jamaica,ARQ,2022,0
Americas,Jamaica,GLOTIP,2019,0
Americas,Jamaica,GLOTIP,2020,0
Americas,Jamaica,GLOTIP,2021,0
Americas,Jamaica,GLOTIP,2022,0
Americas,Jamaica,IDS,2019,0
Americas,Jamaica,IDS,2020,0
Americas,Jamaica,IDS,2021,0
Americas,Jamaica,IDS,2022,0
Americas,Jamaica,UN-CTS,2019,1
Americas,Jamaica,UN-CTS,2020,1
Americas,Jamaica,UN-CTS,2021,1
Americas,Jamaica,UN-CTS,2022,1
Americas,Jamaica,UN-IAFQ,2019,0
Americas,Jamaica,UN-IAFQ,2020,0
Americas,Jamaica,UN-IAFQ,2021,0
Americas,Jamaica,UN-IAFQ,2022,1
Oceania,Kiribati,ARQ,2019,0
Oceania,Kiribati,ARQ,2020,0
Oceania,Kiribati,ARQ,2021,0
Oceania,Kiribati,ARQ,2022,0
Oceania,Kiribati,GLOTIP,2019,0
Oceania,Kiribati,GLOTIP,2020,0
Oceania,Kiribati,GLOTIP,2021,0
Oceania,Kiribati,GLOTIP,2022,0
Oceania,Kiribati,IDS,2019,0
Oceania,Kiribati,IDS,2020,0
Oceania,Kiribati,IDS,2021,0
Oceania,Kiribati,IDS,2022,0
Oceania,Kiribati,UN-CTS,2019,0
Oceania,Kiribati,UN-CTS,2020,0
Oceania,Kiribati,UN-CTS,2021,0
Oceania,Kiribati,UN-CTS,2022,0
Oceania,Kiribati,UN-IAFQ,2019,0
Oceania,Kiribati,UN-IAFQ,2020,0
Oceania,Kiribati,UN-IAFQ,2021,0
Oceania,Kiribati,UN-IAFQ,2022,0
Asia,Maldives,ARQ,2019,0
Asia,Maldives,ARQ,2020,0
Asia,Maldives,ARQ,2021,0
Asia,Maldives,ARQ,2022,0
Asia,Maldives,GLOTIP,2019,0
Asia,Maldives,GLOTIP,2020,0
Asia,Maldives,GLOTIP,2021,0
Asia,Maldives,GLOTIP,2022,0
Asia,Maldives,IDS,2019,0
Asia,Maldives,IDS,2020,0
Asia,Maldives,IDS,2021,1
Asia,Maldives,IDS,2022,1
Asia,Maldives,UN-CTS,2019,0
Asia,Maldives,UN-CTS,2020,0
Asia,Maldives,UN-CTS,2021,0
Asia,Maldives,UN-CTS,2022,0
Asia,Maldives,UN-IAFQ,2019,0
Asia,Maldives,UN-IAFQ,2020,0
Asia,Maldives,UN-IAFQ,2021,0
Asia,Maldives,UN-IAFQ,2022,0
Oceania,Marshall Islands,ARQ,2019,0
Oceania,Marshall Islands,ARQ,2020,0
Oceania,Marshall Islands,ARQ,2021,0
Oceania,Marshall Islands,ARQ,2022,0
Oceania,Marshall Islands,GLOTIP,2019,0
Oceania,Marshall Islands,GLOTIP,2020,0
Oceania,Marshall Islands,GLOTIP,2021,0
Oceania,Marshall Islands,GLOTIP,2022,0
Oceania,Marshall Islands,IDS,2019,0
Oceania,Marshall Islands,IDS,2020,0
Oceania,Marshall Islands,IDS,2021,0
Oceania,Marshall Islands,IDS,2022,0
Oceania,Marshall Islands,UN-CTS,2019,0
Oceania,Marshall Islands,UN-CTS,2020,0
Oceania,Marshall Islands,UN-CTS,2021,0
Oceania,Marshall Islands,UN-CTS,2022,0
Oceania,Marshall Islands,UN-IAFQ,2019,0
Oceania,Marshall Islands,UN-IAFQ,2020,0
Oceania,Marshall Islands,UN-IAFQ,2021,0
