Continent,Region,Country,CRIMINALITY,CRIMINAL MARKETS,Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,CRIMINAL ACTORS,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,RESILIENCE,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors,sids_category
Asia,Southern Asia,Afghanistan,7.08,6.90,8.5,8.0,8.5,6.0,4.0,8.0,9.5,1.0,7.0,8.5,7.25,7.5,8.5,9.0,4.0,2.67,3.0,2.5,3.0,3.0,2.0,3.0,3.0,3.0,3.5,2.0,2.0,2.0,non_sids
Europe,Central & Eastern Europe,Albania,5.63,5.25,5.0,6.5,4.5,4.5,3.5,5.5,6.0,7.0,7.0,3.0,6.00,7.0,7.5,7.0,2.5,5.04,5.5,4.5,6.5,6.0,5.0,5.5,5.5,4.0,4.0,4.5,5.0,4.5,non_sids
Africa,North Africa,Algeria,4.51,4.65,4.5,6.5,5.0,2.0,4.5,6.5,2.0,3.5,6.5,5.5,4.38,1.0,5.0,7.0,4.5,4.63,4.5,4.0,5.0,6.0,4.0,6.0,6.5,4.5,4.5,3.0,4.0,3.5,non_sids
Europe,Western Europe,Andorra,2.96,2.55,2.5,3.0,3.0,1.0,1.0,3.5,2.0,3.5,4.5,1.5,3.38,1.0,4.0,1.5,7.0,7.75,7.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.5,8.0,8.5,non_sids
Africa,Central Africa,Angola,5.29,5.20,6.0,4.0,6.0,7.0,4.5,8.5,3.0,6.0,4.5,2.5,5.38,3.0,5.5,8.0,5.0,4.42,5.0,4.5,5.0,5.0,3.5,4.5,6.0,5.0,4.0,4.0,3.5,3.0,non_sids
Americas,Caribbean,Antigua and Barbuda,3.34,3.05,4.0,2.0,3.0,1.0,3.5,1.5,3.0,6.0,5.0,1.5,3.63,3.0,3.0,3.0,5.5,4.33,4.5,5.0,5.0,5.0,3.0,4.0,4.0,2.5,5.0,4.0,4.5,5.5,sids
Americas,South America,Argentina,4.38,3.75,4.0,3.0,3.0,3.0,3.5,3.0,2.0,6.5,6.5,3.0,5.00,4.0,6.0,5.0,5.0,6.33,7.0,5.0,6.0,7.0,6.0,6.5,6.0,7.0,6.0,6.0,5.5,8.0,non_sids
Asia,Central Asia and the Caucasus,Armenia,3.26,3.40,3.5,2.0,2.5,4.0,4.5,3.5,4.0,2.0,4.0,4.0,3.13,3.0,3.0,3.5,3.0,5.71,6.0,6.0,6.5,6.0,4.5,6.0,5.5,6.0,5.5,5.5,5.0,6.0,non_sids
Oceania,Australia and New Zealand,Australia,4.00,3.75,3.5,3.0,3.5,3.0,3.5,2.0,3.5,5.0,3.5,7.0,4.25,5.0,6.0,2.0,4.0,7.96,8.0,8.5,9.0,8.0,8.0,8.0,9.0,7.0,7.0,7.5,7.5,8.0,non_sids
Europe,Western Europe,Austria,4.04,3.95,4.5,5.0,6.5,2.0,2.5,2.0,4.5,3.5,4.5,4.5,4.13,2.0,4.0,4.0,6.5,7.42,7.0,6.5,7.0,8.0,8.0,8.5,8.0,6.0,7.0,8.0,8.0,7.0,non_sids
Asia,Central Asia and the Caucasus,Azerbaijan,5.08,4.15,4.5,3.0,3.0,3.5,3.5,6.0,6.0,3.0,5.0,4.0,6.00,5.5,5.5,7.5,5.5,4.08,3.5,3.5,5.5,4.0,2.5,4.0,5.0,4.5,4.0,4.0,5.0,3.5,non_sids
Americas,Caribbean,Bahamas,3.79,3.95,4.5,5.0,4.5,1.0,4.5,2.0,4.0,7.0,4.0,3.0,3.63,3.5,2.0,3.0,6.0,5.21,6.0,6.0,6.0,6.0,3.5,6.0,5.0,4.5,4.0,6.5,5.0,4.0,sids
Asia,Western Asia,Bahrain,4.83,5.65,7.5,5.5,5.5,4.0,6.0,6.5,5.0,4.0,6.0,6.5,4.00,1.0,6.0,4.0,5.0,5.54,6.0,5.0,7.0,5.5,5.0,5.0,6.5,5.5,6.0,5.5,5.5,4.0,sids
Asia,Southern Asia,Bangladesh,4.98,4.95,8.0,6.0,5.0,4.0,5.0,3.5,4.5,3.0,4.0,6.5,5.00,5.5,5.5,7.0,2.0,4.13,3.5,4.0,5.5,5.0,3.0,4.0,5.0,4.5,3.5,3.5,4.0,4.0,non_sids
Americas,Caribbean,Barbados,3.21,2.55,3.5,2.0,4.0,1.0,1.0,2.0,1.0,5.5,4.5,1.0,3.88,5.0,4.5,4.0,2.0,5.71,5.5,7.0,7.0,6.0,4.5,6.5,6.0,5.0,3.5,5.5,6.0,6.0,sids
Europe,Central & Eastern Europe,Belarus,5.08,4.40,7.0,5.5,6.5,3.0,2.0,5.0,4.0,2.0,4.0,5.0,5.75,4.0,5.0,9.0,5.0,3.79,3.5,2.0,3.0,4.0,3.0,5.0,4.5,4.5,5.0,3.0,5.0,3.0,non_sids
Europe,Western Europe,Belgium,4.34,5.05,5.0,5.5,5.5,2.5,3.5,3.0,4.0,7.5,6.5,7.5,3.63,3.0,4.5,2.0,5.0,7.00,7.0,7.0,8.0,7.0,6.0,7.0,6.0,7.0,7.0,7.5,6.5,8.0,non_sids
Americas,Central America,Belize,4.64,4.40,5.0,5.0,4.5,5.5,4.5,3.0,3.5,4.5,5.5,3.0,4.88,6.5,3.5,4.5,5.0,3.13,5.0,2.5,3.0,3.0,4.0,4.5,2.0,2.0,1.5,3.0,3.0,4.0,sids
Africa,West Africa,Benin,5.25,5.25,6.0,4.0,5.5,6.0,5.5,5.0,4.5,6.0,4.0,6.0,5.25,1.0,6.0,6.0,8.0,3.54,4.0,4.5,4.0,3.0,3.0,4.0,3.5,3.0,4.0,3.0,2.0,4.5,non_sids
Asia,Southern Asia,Bhutan,3.69,3.75,5.0,3.0,2.0,7.0,5.5,4.5,2.0,1.5,4.0,3.0,3.63,4.0,3.5,3.0,4.0,4.58,6.0,6.0,4.5,4.5,5.5,5.0,3.5,4.0,5.0,3.5,4.0,3.5,non_sids
Americas,South America,Bolivia,4.30,4.60,5.0,2.0,4.0,7.0,5.0,8.0,2.0,8.5,2.5,2.0,4.00,3.5,2.0,6.0,4.5,4.88,5.0,4.0,5.0,6.0,3.5,5.0,5.0,4.5,5.0,5.0,6.0,4.5,non_sids
Europe,Central & Eastern Europe,Bosnia and Herzegovina,5.89,5.15,5.5,7.0,6.0,4.5,4.0,3.0,6.0,4.5,5.5,5.5,6.63,4.0,6.5,8.0,8.0,3.92,3.0,4.0,5.0,4.0,3.5,3.5,4.0,4.0,3.5,4.0,4.0,4.5,non_sids
Africa,Southern Africa,Botswana,3.71,3.80,4.5,3.0,3.0,2.0,7.5,3.5,3.5,3.5,4.0,3.5,3.63,1.0,5.5,3.0,5.0,5.63,6.0,5.0,8.0,6.0,6.5,5.0,5.0,4.5,5.5,5.5,4.5,6.0,non_sids
Americas,South America,Brazil,6.50,6.50,5.0,4.0,8.0,8.5,8.5,8.0,2.0,9.0,8.0,4.0,6.50,7.5,6.5,8.5,3.5,5.04,3.0,4.5,7.5,4.5,3.0,5.0,5.5,6.0,6.0,5.0,4.0,6.5,non_sids
Asia,South-Eastern Asia,Brunei,2.76,3.15,4.5,4.0,2.5,3.0,4.0,2.0,2.5,1.5,3.5,4.0,2.38,1.0,2.5,2.0,4.0,4.58,4.0,4.0,4.5,4.5,4.0,5.0,5.5,5.5,6.5,3.5,4.5,3.5,non_sids
Europe,Central & Eastern Europe,Bulgaria,5.43,5.10,6.0,5.0,3.5,5.5,5.0,5.0,6.0,4.0,5.0,6.0,5.75,4.5,6.5,7.5,4.5,5.29,4.5,5.0,6.5,6.0,5.5,5.5,6.5,6.0,4.5,4.5,5.0,4.0,non_sids
Africa,West Africa,Burkina Faso,5.49,5.35,6.0,4.0,8.0,4.0,6.0,8.5,4.0,4.0,3.0,6.0,5.63,3.5,6.5,6.5,6.0,3.63,3.5,4.0,5.5,5.0,4.0,3.0,3.0,3.0,3.0,2.5,2.0,5.0,non_sids
Africa,Central Africa,Burundi,4.51,4.40,8.5,5.5,8.0,2.0,4.5,4.0,3.0,2.5,3.5,2.5,4.63,1.0,4.5,9.0,4.0,2.08,2.5,1.0,1.5,2.5,2.5,1.5,3.0,2.0,2.0,1.5,2.5,2.5,non_sids
Africa,West Africa,Cabo Verde,4.04,3.70,4.5,2.0,2.5,2.5,4.0,1.0,4.0,7.0,5.0,4.5,4.38,2.5,4.0,4.0,7.0,6.33,6.5,6.0,8.5,7.0,7.0,6.0,7.5,5.0,6.0,3.5,6.0,7.0,sids
Asia,South-Eastern Asia,Cambodia,5.83,6.15,7.5,6.5,5.0,8.0,8.0,8.0,4.0,2.5,4.5,7.5,5.50,2.5,4.0,8.5,7.0,3.92,4.5,3.5,5.0,4.5,4.0,4.5,4.5,4.0,4.0,3.0,3.0,2.5,non_sids
Africa,Central Africa,Cameroon,6.31,6.25,6.5,5.5,6.5,7.0,7.5,7.5,4.5,3.5,7.0,7.0,6.38,4.0,7.5,8.0,6.0,3.13,2.0,1.5,5.0,4.5,2.5,4.0,2.0,3.5,2.5,2.5,2.5,5.0,non_sids
Americas,North America,Canada,3.66,3.45,3.5,4.0,2.5,2.0,3.0,3.0,5.0,3.5,3.0,5.0,3.88,5.0,4.0,2.0,4.5,7.25,7.5,7.0,8.0,8.0,7.0,7.0,6.0,6.5,7.5,8.5,6.0,8.0,non_sids
Africa,Central Africa,Central African Republic,7.04,5.70,7.5,4.5,8.5,6.5,8.0,9.0,1.5,1.5,3.0,7.0,8.38,9.0,8.0,8.5,8.0,1.92,1.5,1.5,3.0,2.5,2.0,1.5,1.5,2.0,1.5,3.0,1.0,2.0,non_sids
Africa,Central Africa,Chad,5.86,5.35,7.0,7.0,8.0,1.5,3.5,7.0,2.0,4.5,6.0,7.0,6.38,5.5,6.5,8.5,5.0,2.46,3.5,2.5,5.0,2.5,2.0,2.5,3.5,2.0,2.0,1.0,1.0,2.0,non_sids
Americas,South America,Chile,4.60,4.45,4.0,4.5,5.5,4.0,4.5,2.0,2.0,7.0,6.5,4.5,4.75,4.0,5.5,4.5,5.0,6.42,7.0,7.0,8.0,6.0,6.0,4.0,4.0,6.5,7.0,7.0,6.5,8.0,non_sids
Asia,Eastern Asia,China,6.01,5.90,6.5,6.0,2.5,8.5,9.0,4.5,6.5,3.5,4.0,8.0,6.13,7.0,7.5,7.0,3.0,5.46,6.0,4.0,6.0,7.0,5.0,5.5,7.0,6.0,7.0,4.0,6.0,2.0,non_sids
Americas,South America,Colombia,7.66,7.20,7.5,7.0,8.0,6.0,7.0,9.0,5.0,9.5,8.0,5.0,8.13,9.5,9.0,7.0,7.0,5.83,7.0,5.5,9.0,7.0,5.5,6.0,4.5,6.0,5.0,3.5,4.5,6.5,non_sids
Africa,Southern Africa,Comoros,3.86,3.85,5.0,5.5,3.5,3.0,5.5,1.0,4.0,2.0,3.0,6.0,3.88,1.0,4.5,6.0,4.0,2.38,2.0,2.0,3.0,2.5,2.0,2.0,3.0,4.0,3.0,1.5,1.5,2.0,sids
Africa,Central Africa,"Congo, Dem. Rep.",7.75,6.50,7.0,5.5,9.0,8.5,8.0,9.0,4.0,4.5,7.0,2.5,9.00,9.0,9.0,9.0,9.0,2.29,1.0,1.0,4.0,3.0,2.5,1.5,2.0,2.0,1.5,2.0,2.0,5.0,non_sids
Africa,Central Africa,"Congo, Rep.",5.03,4.80,6.5,4.5,5.0,8.0,7.0,3.5,2.5,5.0,4.0,2.0,5.25,3.0,6.0,8.0,4.0,3.25,3.0,1.5,5.0,5.0,2.0,4.5,3.0,3.0,3.0,2.0,4.0,3.0,non_sids
Americas,Central America,Costa Rica,4.99,4.85,5.0,5.0,5.0,5.0,6.0,6.5,1.0,7.0,4.5,3.5,5.13,6.5,6.0,1.5,6.5,5.50,7.0,6.5,6.0,6.5,5.0,5.0,5.0,4.0,4.5,5.0,5.0,6.5,non_sids
Africa,West Africa,Côte d'Ivoire,6.15,6.05,6.5,6.5,7.0,6.0,6.5,7.5,3.5,5.0,6.0,6.0,6.25,3.0,7.0,7.0,8.0,4.42,4.5,4.0,6.0,4.5,5.5,5.0,4.0,5.0,3.5,3.5,3.0,4.5,non_sids
Europe,Central & Eastern Europe,Croatia,5.06,4.75,4.5,6.0,3.5,5.0,2.5,4.5,5.0,5.5,5.5,5.5,5.38,4.0,6.5,6.5,4.5,5.58,5.0,5.5,6.5,6.0,5.0,6.0,6.5,6.5,4.5,5.5,5.0,5.0,non_sids
Americas,Caribbean,Cuba,3.44,4.00,6.0,6.0,1.5,4.0,3.0,4.0,2.5,4.0,5.0,4.0,2.88,4.0,2.5,4.0,1.0,5.38,6.5,2.5,6.5,6.0,3.0,7.0,8.0,5.5,5.5,4.0,7.0,3.0,sids
Europe,Southern Europe,Cyprus,4.19,3.50,5.5,6.0,2.5,2.5,3.0,2.0,2.0,4.5,4.0,3.0,4.88,3.5,5.0,4.0,7.0,4.42,5.0,5.0,6.5,6.0,4.0,5.5,3.0,3.0,3.5,4.0,3.5,4.0,non_sids
Europe,Central & Eastern Europe,Czech Republic,4.63,4.75,5.0,5.0,4.5,3.0,5.5,3.0,4.5,4.5,6.0,6.5,4.50,3.0,5.0,5.5,4.5,6.25,6.0,5.5,7.0,6.5,6.5,7.0,7.0,6.0,6.0,5.5,6.0,6.0,non_sids
Europe,Northern Europe,Denmark,3.86,3.85,4.0,4.5,4.0,1.5,2.0,2.0,5.0,5.5,5.0,5.0,3.88,5.0,4.0,2.0,4.5,8.21,9.0,9.0,8.5,9.0,7.5,8.0,8.5,5.5,8.5,7.5,8.5,9.0,non_sids
Africa,East Africa,Djibouti,3.99,3.60,6.0,7.0,6.0,2.0,4.0,2.0,2.5,1.5,3.5,1.5,4.38,1.5,5.0,5.0,6.0,4.50,4.5,3.0,6.5,5.5,4.0,4.0,6.0,5.0,5.5,3.0,4.0,3.0,non_sids
Americas,Caribbean,Dominica,2.63,2.75,2.5,2.5,5.0,1.0,1.0,1.0,1.0,6.0,5.0,2.5,2.50,1.0,5.0,1.5,2.5,5.08,3.5,4.0,6.0,5.0,5.0,5.5,6.0,5.0,5.0,5.0,6.0,5.0,non_sids
Americas,Caribbean,Dominican Republic,5.15,5.30,6.0,6.0,4.0,4.5,4.0,4.5,6.5,8.0,5.0,4.5,5.00,5.0,5.5,5.5,4.0,4.67,5.0,3.0,7.0,5.0,4.0,4.5,5.5,4.0,5.0,4.0,4.0,5.0,sids
Americas,South America,Ecuador,6.25,6.00,6.0,5.5,7.5,6.0,6.0,6.5,6.0,7.0,4.0,5.5,6.50,6.5,5.5,6.5,7.5,5.71,5.0,5.5,6.0,6.5,5.5,6.0,4.5,7.0,5.5,5.0,5.0,7.0,non_sids
Africa,North Africa,Egypt,5.16,4.95,5.5,5.5,7.0,1.0,5.0,4.0,5.5,2.0,7.0,7.0,5.38,3.0,5.5,8.0,5.0,4.04,3.5,3.0,4.5,4.5,3.5,5.0,6.0,6.0,4.5,3.0,2.5,2.5,non_sids
Americas,Central America,El Salvador,5.94,5.00,7.0,6.5,7.0,5.0,5.5,1.5,1.5,7.0,7.0,2.0,6.88,9.5,6.5,7.0,4.5,3.71,2.5,3.0,5.5,5.0,2.0,3.0,5.0,4.0,2.0,4.0,4.5,4.0,non_sids
Africa,Central Africa,Equatorial Guinea,4.11,3.85,4.5,2.0,5.0,8.5,5.0,6.0,1.5,1.5,3.5,1.0,4.38,1.0,2.5,9.0,5.0,2.17,1.5,1.0,2.0,5.5,2.0,2.0,3.5,2.0,1.5,1.5,1.5,2.0,non_sids
Africa,East Africa,Eritrea,4.34,4.05,9.0,9.5,6.5,1.5,2.0,2.0,3.0,1.5,4.0,1.5,4.63,1.0,5.5,9.5,2.5,2.33,1.0,1.0,2.0,2.5,2.0,3.0,7.0,3.0,2.5,1.0,2.0,1.0,non_sids
Europe,Northern Europe,Estonia,3.60,3.45,4.5,3.0,3.0,1.5,1.5,3.0,3.0,3.5,5.0,6.5,3.75,3.0,5.0,2.0,5.0,7.83,8.0,8.0,8.5,8.0,8.0,7.0,8.0,7.5,8.0,7.5,8.0,7.5,non_sids
Africa,Southern Africa,Eswatini,3.63,3.25,4.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,5.5,3.0,4.00,1.5,5.5,5.0,4.0,3.25,3.0,2.5,5.0,4.0,2.5,3.0,3.5,4.0,2.0,3.0,4.0,2.5,non_sids
Africa,East Africa,Ethiopia,4.79,4.95,6.0,6.5,7.0,3.5,5.5,5.5,3.0,4.0,5.5,3.0,4.63,2.0,6.5,4.0,6.0,5.38,5.0,5.0,6.0,6.0,5.0,4.0,6.0,7.0,6.0,4.5,5.0,5.0,non_sids
Oceania,Melanesia,Fiji,3.90,3.80,5.0,3.5,2.0,3.0,4.5,2.0,2.0,4.5,5.0,6.5,4.00,1.0,6.5,3.0,5.5,5.25,6.0,5.5,5.0,5.5,4.5,5.0,4.5,6.0,6.0,4.0,5.0,6.0,sids
Europe,Northern Europe,Finland,2.71,2.80,3.0,2.5,2.5,1.0,1.5,2.0,3.5,4.0,3.5,4.5,2.63,3.0,3.0,1.5,3.0,8.42,9.0,8.5,9.0,8.0,8.0,8.0,9.0,8.5,9.0,8.0,8.0,8.0,non_sids
Europe,Western Europe,France,5.66,5.70,6.0,6.5,6.0,4.0,5.5,4.5,6.0,6.5,6.5,5.5,5.63,6.0,6.5,3.0,7.0,6.83,6.0,7.0,8.5,7.5,6.5,7.0,5.0,8.0,8.0,5.0,6.5,7.0,non_sids
