Continent,Region,Country,CRIMINALITY,CRIMINAL MARKETS,Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,CRIMINAL ACTORS,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,RESILIENCE,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors,sids_category
Africa,Central Africa,Gabon,4.90,4.80,5.5,5.5,4.5,8.5,7.0,3.0,2.5,2.5,4.0,5.0,5.00,1.0,5.0,8.0,6.0,3.17,2.0,2.0,5.0,4.0,3.0,4.5,4.5,2.0,2.0,3.0,3.5,2.5,non_sids
Africa,West Africa,Gambia,4.83,5.15,7.0,5.0,2.5,7.0,3.5,4.5,4.5,6.5,7.0,4.0,4.50,1.0,6.5,6.5,4.0,5.00,5.0,5.0,4.5,5.0,5.0,5.5,6.5,5.5,5.5,2.5,3.5,6.5,non_sids
Asia,Central Asia and the Caucasus,Georgia,2.96,3.05,3.5,2.0,2.0,3.5,3.5,3.0,3.5,2.0,3.5,4.0,2.88,2.5,3.0,3.0,3.0,5.71,5.0,6.5,7.0,6.5,3.5,6.5,5.0,5.0,5.0,7.0,5.5,6.0,non_sids
Europe,Western Europe,Germany,4.90,4.80,5.5,7.0,6.0,1.5,3.5,2.5,4.5,6.5,5.0,6.0,5.00,5.0,6.5,2.0,6.5,7.67,7.0,7.5,8.0,8.0,7.5,7.5,9.0,6.5,7.0,8.0,8.0,8.0,non_sids
Africa,West Africa,Ghana,6.01,6.15,6.5,5.0,5.0,6.5,6.0,7.5,6.0,6.5,5.5,7.0,5.88,3.0,6.5,7.5,6.5,5.38,5.5,5.5,6.5,5.0,5.0,4.5,6.0,6.0,6.0,3.5,4.0,7.0,non_sids
Europe,Southern Europe,Greece,4.93,4.10,5.5,7.5,3.5,2.0,2.5,3.0,6.0,3.5,5.0,2.5,5.75,3.0,6.5,7.5,6.0,5.25,5.5,5.0,6.5,6.0,4.5,5.0,5.5,5.5,5.5,4.0,5.0,5.0,non_sids
Americas,Caribbean,Grenada,3.05,2.85,2.0,1.0,3.0,1.0,2.5,3.0,1.0,6.5,7.0,1.5,3.25,4.0,2.0,3.0,4.0,4.67,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,5.0,3.0,4.0,3.0,sids
Americas,Central America,Guatemala,6.48,5.95,6.5,7.0,7.0,4.0,4.0,2.5,7.5,8.5,6.5,6.0,7.00,7.5,6.0,7.0,7.5,4.42,3.5,4.0,5.5,5.5,4.0,5.0,3.5,5.0,4.0,4.0,4.0,5.0,non_sids
Africa,West Africa,Guinea,5.20,5.15,7.0,3.0,6.0,4.5,6.0,6.5,2.5,7.0,4.5,4.5,5.25,1.0,5.0,8.0,7.0,2.83,2.0,3.0,4.0,3.5,3.0,3.5,3.0,3.0,3.0,1.5,1.5,3.0,non_sids
Africa,West Africa,Guinea-Bissau,5.45,4.90,5.5,2.5,5.5,8.5,5.5,1.0,5.0,8.0,5.5,2.0,6.00,1.0,8.0,8.5,6.5,2.42,2.0,2.5,3.0,3.0,3.0,3.0,3.0,2.5,1.5,1.0,1.5,3.0,sids
Americas,South America,Guyana,5.10,4.70,5.5,4.0,5.0,4.5,3.5,8.5,2.5,8.0,3.0,2.5,5.50,3.0,5.0,8.0,6.0,4.29,5.0,3.0,5.0,3.0,4.0,2.5,5.0,4.0,5.0,5.0,5.0,5.0,sids
Americas,Caribbean,Haiti,5.73,5.45,6.5,6.5,5.5,6.5,4.0,6.0,2.0,8.0,6.0,3.5,6.00,8.0,6.0,7.0,3.0,2.67,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,1.5,3.0,4.5,sids
Americas,Central America,Honduras,6.98,5.70,6.5,6.5,6.0,7.0,6.0,5.0,2.0,7.5,7.5,3.0,8.25,8.5,8.0,8.5,8.0,3.92,2.5,3.5,5.5,4.0,3.0,4.5,4.5,4.0,3.5,3.0,4.5,4.5,non_sids
Europe,Central & Eastern Europe,Hungary,4.50,4.75,6.0,6.0,3.5,3.5,4.5,3.5,4.5,5.0,5.5,5.5,4.25,1.0,4.0,7.0,5.0,5.08,4.5,3.5,5.0,5.5,5.0,6.0,7.0,5.5,4.5,4.5,6.0,4.0,non_sids
Europe,Northern Europe,Iceland,3.39,2.65,4.0,3.0,1.5,1.0,1.5,1.0,1.5,4.5,4.0,4.5,4.13,4.5,5.0,2.0,5.0,8.04,7.0,7.5,8.5,8.5,8.5,8.5,8.5,8.0,8.5,7.0,7.5,8.5,non_sids
Asia,Southern Asia,India,5.53,6.30,7.0,6.0,5.5,5.5,8.0,7.0,6.5,3.5,7.5,6.5,4.75,3.5,6.0,6.0,3.5,5.25,4.0,5.5,7.5,4.5,5.0,5.5,6.5,6.0,5.0,3.5,5.0,5.0,non_sids
Asia,South-Eastern Asia,Indonesia,6.38,6.00,6.5,6.0,4.5,7.5,8.0,7.5,3.5,4.0,6.5,6.0,6.75,6.0,7.5,7.5,6.0,4.33,4.0,3.5,5.5,5.0,3.5,4.0,4.0,4.5,4.5,5.0,4.5,4.0,non_sids
Asia,Western Asia,Iran,7.10,6.95,7.5,8.0,8.0,4.5,4.0,8.5,9.0,5.5,6.0,8.5,7.25,7.0,7.5,9.5,5.0,3.50,3.0,2.5,4.5,4.0,3.5,3.5,5.5,2.5,3.0,4.0,3.0,3.0,non_sids
Asia,Western Asia,Iraq,7.05,6.35,8.0,8.5,9.0,1.5,4.5,9.0,6.0,5.0,6.0,6.0,7.75,6.5,7.5,8.0,9.0,3.79,4.5,3.0,4.0,4.0,4.0,3.5,3.5,4.0,3.5,3.0,4.0,4.5,non_sids
Europe,Western Europe,Ireland,4.90,4.55,4.5,4.0,4.0,2.0,4.0,5.0,5.5,6.5,5.0,5.0,5.25,6.0,5.5,3.0,6.5,7.38,7.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,5.5,7.0,non_sids
Asia,Western Asia,Israel,4.41,4.20,5.5,2.5,5.5,1.5,2.0,5.5,3.0,4.5,6.5,5.5,4.63,5.5,4.0,5.0,4.0,6.00,6.0,5.0,6.0,7.0,5.0,5.5,3.5,7.0,7.0,6.0,6.0,8.0,non_sids
Europe,Southern Europe,Italy,5.81,5.25,7.0,6.5,5.5,2.5,3.5,5.5,4.5,7.5,5.0,5.0,6.38,9.0,3.0,6.5,7.0,6.29,6.5,5.0,8.5,8.0,5.0,7.5,6.5,5.5,5.0,5.5,5.5,7.0,non_sids
Americas,Caribbean,Jamaica,5.91,4.20,5.0,3.0,8.5,1.5,2.0,1.0,3.0,6.0,9.0,3.0,7.63,8.0,7.5,8.0,7.0,5.46,5.0,5.5,6.5,5.5,4.0,6.0,6.5,4.5,4.5,5.0,6.0,6.5,sids
Asia,Eastern Asia,Japan,4.53,4.05,5.0,4.5,3.0,4.0,6.0,3.0,2.0,3.0,4.5,5.5,5.00,6.5,5.5,3.0,5.0,7.46,6.0,7.5,9.0,7.5,8.0,7.5,8.5,8.0,8.0,5.5,6.0,8.0,non_sids
Asia,Western Asia,Jordan,4.71,4.55,6.5,5.5,6.5,3.5,3.5,1.5,3.5,3.0,6.0,6.0,4.88,1.5,7.0,6.5,4.5,5.92,7.0,5.0,8.0,6.5,4.5,7.0,6.0,6.5,4.0,4.5,6.5,5.5,non_sids
Asia,Central Asia and the Caucasus,Kazakhstan,4.26,4.15,5.5,4.0,2.0,2.0,5.0,4.5,6.5,2.5,4.5,5.0,4.38,3.5,4.0,6.0,4.0,4.71,5.0,4.0,5.5,5.5,5.0,4.5,5.0,5.0,5.0,4.5,4.0,3.5,non_sids
Africa,East Africa,Kenya,6.95,6.65,7.5,7.0,7.5,6.0,7.0,7.0,7.5,6.0,6.5,4.5,7.25,7.0,7.5,8.0,6.5,5.21,5.0,4.5,7.0,6.0,5.5,4.5,6.0,6.0,5.0,3.0,3.5,6.5,non_sids
Oceania,Melanesia,Kiribati,2.35,2.45,4.5,1.5,2.0,1.0,6.5,2.0,1.0,3.0,2.0,1.0,2.25,1.0,4.0,1.5,2.5,4.33,5.5,5.5,5.5,6.0,4.0,5.0,4.0,4.0,3.0,1.0,3.0,5.5,sids
Asia,Western Asia,Kuwait,5.14,6.15,8.0,6.5,6.5,5.5,6.0,6.0,5.0,4.5,6.5,7.0,4.13,1.0,6.0,6.0,3.5,5.54,5.0,4.5,6.0,5.5,5.5,6.0,5.5,5.5,6.5,5.5,5.5,5.5,non_sids
Asia,Central Asia and the Caucasus,Kyrgyzstan,5.33,4.40,6.5,4.5,3.0,2.0,3.5,5.5,7.0,2.0,5.5,4.5,6.25,5.5,6.5,8.5,4.5,4.17,3.5,3.0,4.5,5.0,3.0,3.5,4.5,3.0,5.0,4.5,5.0,5.5,non_sids
Asia,South-Eastern Asia,Laos,5.51,5.65,6.5,6.5,4.5,8.0,8.0,1.5,7.0,2.5,4.0,8.0,5.38,1.5,6.0,6.0,8.0,3.42,3.0,2.5,3.5,4.0,3.0,4.0,2.5,3.5,4.0,4.0,3.5,3.5,non_sids
Europe,Northern Europe,Latvia,3.51,3.65,4.5,3.5,3.5,1.0,2.0,2.0,4.5,5.0,5.5,5.0,3.38,3.5,3.5,2.0,4.5,7.42,7.5,6.0,8.5,8.0,7.5,7.5,8.5,5.5,8.0,7.5,7.5,7.0,non_sids
Asia,Western Asia,Lebanon,6.76,5.90,8.5,6.5,7.5,1.5,3.0,5.0,4.0,6.0,9.0,8.0,7.63,6.0,7.0,9.5,8.0,4.00,4.5,3.5,6.5,4.0,4.0,3.5,3.0,3.0,2.0,5.0,3.5,5.5,non_sids
Africa,Southern Africa,Lesotho,3.90,3.55,4.0,3.0,3.0,1.0,2.5,5.5,3.5,5.5,4.5,3.0,4.25,1.0,5.0,6.0,5.0,3.67,4.0,3.5,6.0,5.5,3.0,3.0,2.5,5.0,3.0,2.5,2.0,4.0,non_sids
Africa,West Africa,Liberia,5.05,5.10,6.0,3.0,4.5,5.5,6.0,6.5,5.0,5.5,6.0,3.0,5.00,3.0,6.0,6.0,5.0,3.17,3.5,3.0,3.0,3.0,3.5,4.0,4.0,3.0,4.0,1.0,2.0,4.0,non_sids
Africa,North Africa,Libya,6.55,6.10,9.5,8.0,9.5,1.0,3.5,8.5,2.5,4.0,7.5,7.0,7.00,8.0,7.5,8.5,4.0,1.54,1.5,1.5,2.5,2.0,1.5,1.5,1.5,1.0,2.0,1.0,1.0,1.5,non_sids
Europe,Western Europe,Liechtenstein,1.88,2.00,2.0,1.5,2.5,1.5,1.5,1.5,2.0,2.5,3.0,2.0,1.75,1.0,1.5,1.5,3.0,8.42,9.0,8.0,7.5,9.0,9.0,8.0,9.5,5.0,8.5,9.5,9.5,8.5,non_sids
Europe,Northern Europe,Lithuania,3.31,3.00,3.5,2.5,2.5,1.0,2.0,2.0,4.0,4.5,4.0,4.0,3.63,3.5,4.0,4.0,3.0,7.21,7.5,7.0,7.5,7.0,7.5,7.0,8.0,6.5,7.5,7.0,6.5,7.5,non_sids
Europe,Western Europe,Luxembourg,2.36,2.35,3.5,2.0,2.0,1.0,1.5,1.5,3.5,3.0,2.5,3.0,2.38,1.0,2.0,1.5,5.0,7.50,8.0,6.5,9.0,7.0,7.5,7.0,8.0,6.0,8.0,7.0,8.0,8.0,non_sids
Africa,Southern Africa,Madagascar,5.59,5.30,6.0,3.0,4.5,7.5,7.0,7.5,7.0,2.5,6.0,2.0,5.88,4.0,5.0,7.5,7.0,3.38,4.0,2.0,3.0,4.0,3.0,3.5,5.0,5.0,2.0,2.0,4.0,3.0,non_sids
Africa,Southern Africa,Malawi,3.83,4.15,4.5,3.5,4.5,4.0,6.0,4.0,4.5,2.5,6.0,2.0,3.50,2.0,3.0,4.0,5.0,4.29,5.0,4.5,4.5,5.5,4.0,4.0,3.0,6.0,4.0,2.0,3.5,5.5,non_sids
Asia,South-Eastern Asia,Malaysia,5.94,6.25,6.5,7.0,5.5,6.0,8.0,5.5,6.5,5.0,5.0,7.5,5.63,4.5,5.5,6.0,6.5,5.83,4.5,5.5,7.0,7.0,5.0,5.5,5.5,5.5,7.0,6.0,6.0,5.5,non_sids
Asia,Southern Asia,Maldives,4.06,3.50,6.0,5.5,2.0,1.0,5.0,1.0,6.0,3.5,3.0,2.0,4.63,5.0,5.0,4.0,4.5,3.88,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.5,3.0,2.0,3.0,5.0,sids
Africa,West Africa,Mali,5.89,6.15,7.0,6.0,8.0,5.0,5.5,7.5,3.0,6.0,7.0,6.5,5.63,3.0,7.0,8.5,4.0,2.38,2.0,3.0,4.0,2.5,2.5,2.0,1.5,2.5,2.0,1.5,2.0,3.0,non_sids
Europe,Southern Europe,Malta,4.65,4.05,5.0,4.0,2.5,1.0,5.0,5.0,3.0,5.0,4.5,5.5,5.25,1.5,7.0,7.5,5.0,5.17,4.5,4.5,7.5,6.0,4.5,4.0,4.5,4.5,6.5,7.5,4.0,4.0,non_sids
Oceania,Micronesia,Marshall Islands,2.31,2.50,4.5,2.0,1.5,1.0,6.5,1.0,1.5,2.0,2.5,2.5,2.13,1.0,2.0,2.0,3.5,5.04,5.5,4.5,5.0,6.0,6.5,4.0,5.5,4.0,6.0,3.5,4.0,6.0,sids
Africa,North Africa,Mauritania,4.38,4.00,7.5,6.0,4.0,1.0,3.5,3.5,1.5,4.5,6.5,2.0,4.75,2.5,4.5,7.0,5.0,3.08,4.0,3.5,3.0,3.5,2.5,3.0,4.5,4.0,3.0,1.5,2.0,2.5,non_sids
Africa,Southern Africa,Mauritius,4.51,4.40,4.5,3.5,2.0,2.0,3.0,4.0,8.0,3.5,5.5,8.0,4.63,2.0,6.0,6.0,4.5,5.67,6.0,6.0,6.5,6.0,5.5,5.5,5.5,3.5,7.0,5.5,5.0,6.0,sids
Americas,Central America,Mexico,7.56,8.00,7.5,8.5,8.0,7.5,7.0,7.5,8.0,9.0,8.0,9.0,7.13,9.0,9.0,7.0,3.5,4.46,3.0,4.0,7.0,6.0,4.0,5.0,3.0,4.0,5.0,3.5,4.0,5.0,non_sids
Oceania,Micronesia,Micronesia (Federated States of),3.30,2.85,5.0,3.0,1.5,1.0,6.5,1.0,1.0,3.0,3.5,3.0,3.75,1.0,5.5,3.0,5.5,5.33,6.5,5.0,5.5,5.5,5.5,6.0,6.0,4.0,4.0,4.5,5.5,6.0,sids
Europe,Central & Eastern Europe,Moldova,4.45,3.90,7.5,4.0,5.0,2.5,2.0,3.0,3.0,2.5,4.5,5.0,5.00,4.0,4.0,7.0,5.0,3.71,3.5,3.5,4.5,5.0,3.0,3.5,2.0,3.5,4.0,5.0,3.0,4.0,non_sids
Europe,Southern Europe,Monaco,2.43,1.60,1.5,1.0,1.5,1.0,1.0,1.5,2.0,2.0,2.5,2.0,3.25,1.0,3.0,3.5,5.5,5.38,3.5,4.0,5.0,6.0,8.0,7.0,6.0,4.5,4.0,8.0,4.5,4.0,non_sids
Asia,Eastern Asia,Mongolia,4.01,3.90,4.5,3.0,3.5,5.5,4.5,4.0,2.0,2.0,4.0,6.0,4.13,2.0,4.5,4.5,5.5,5.08,5.0,5.0,6.0,6.5,4.0,5.0,5.0,4.0,3.5,4.0,6.5,6.5,non_sids
Europe,Central & Eastern Europe,Montenegro,6.00,5.00,4.5,5.5,6.0,3.0,4.5,3.5,5.5,7.5,5.5,4.5,7.00,7.5,7.0,7.5,6.0,4.46,3.5,4.0,5.5,5.0,4.5,3.5,5.0,5.0,4.0,4.0,5.0,4.5,non_sids
Africa,North Africa,Morocco,4.79,4.95,5.5,6.5,3.0,3.0,4.5,3.0,3.0,6.0,9.0,6.0,4.63,1.0,6.5,7.0,4.0,4.63,4.5,3.5,6.0,6.0,4.0,5.5,6.0,3.5,4.5,4.5,4.0,3.5,non_sids
Africa,Southern Africa,Mozambique,6.53,6.05,4.0,5.0,5.5,8.0,8.0,8.0,7.5,3.5,4.0,7.0,7.00,3.5,8.0,9.0,7.5,3.29,3.0,3.5,5.0,5.5,2.0,2.0,3.5,3.0,4.0,3.0,2.0,3.0,sids
Asia,South-Eastern Asia,Myanmar,7.59,7.05,6.5,7.5,8.0,7.0,8.0,6.5,9.5,3.5,4.5,9.5,8.13,9.0,7.5,8.5,7.5,3.42,3.0,3.0,5.0,4.5,3.5,4.0,3.0,3.0,3.0,2.0,3.0,4.0,non_sids
Africa,Southern Africa,Namibia,4.33,3.90,3.5,2.5,3.0,6.5,4.5,4.0,3.0,4.5,3.0,4.5,4.75,3.0,5.0,5.0,6.0,4.96,5.0,5.0,7.0,6.5,4.5,4.5,3.5,4.5,5.0,4.0,4.0,6.0,non_sids
Oceania,Micronesia,Nauru,1.76,1.65,1.5,2.5,1.0,1.0,3.0,3.5,1.0,1.0,1.0,1.0,1.88,1.0,1.0,3.5,2.0,4.67,5.0,4.5,6.0,6.5,6.0,5.5,7.5,6.0,4.0,2.0,1.0,2.0,non_sids
Asia,Southern Asia,Nepal,6.16,5.70,7.0,6.5,6.0,7.0,7.0,6.5,4.5,3.5,5.0,4.0,6.63,4.5,6.5,8.5,7.0,3.71,2.5,2.0,4.5,3.5,3.0,4.5,4.0,3.0,4.5,4.5,3.5,5.0,non_sids
Europe,Western Europe,Netherlands,4.69,5.00,5.5,4.5,5.0,3.0,4.0,4.0,4.0,7.0,5.5,7.5,4.38,4.5,6.0,2.5,4.5,7.42,7.5,8.0,8.0,7.5,7.5,7.5,6.0,6.5,6.5,8.0,8.0,8.0,non_sids
Oceania,Australia and New Zealand,New Zealand,3.25,3.25,3.5,3.5,3.0,2.0,3.5,1.5,3.0,3.0,4.0,5.5,3.25,4.5,3.5,1.5,3.5,8.38,8.5,8.5,8.5,8.5,8.0,8.5,8.5,8.0,8.5,8.5,8.0,8.5,non_sids
Americas,Central America,Nicaragua,6.06,5.50,6.0,5.5,6.0,6.0,6.0,6.0,2.5,7.5,6.0,3.5,6.63,5.0,6.5,9.0,6.0,2.46,2.0,1.0,2.5,3.5,2.5,3.0,2.5,3.0,2.0,2.0,3.5,2.0,non_sids
Africa,West Africa,Niger,6.01,5.90,7.0,7.0,8.0,2.0,4.5,7.5,3.0,6.0,7.0,7.0,6.13,4.0,7.0,8.5,5.0,3.21,3.5,2.5,5.5,4.0,2.5,4.0,4.0,3.0,3.0,2.0,2.0,2.5,non_sids
Africa,West Africa,Nigeria,7.15,7.05,7.5,6.0,8.0,6.0,6.5,8.0,6.0,6.5,8.0,8.0,7.25,5.5,9.0,7.5,7.0,5.50,5.5,5.0,7.0,7.0,4.5,4.5,4.5,5.0,6.5,5.0,5.0,6.5,non_sids
Asia,Eastern Asia,"Korea, DPR",4.78,5.30,8.0,6.5,9.0,1.0,3.0,7.0,3.5,2.0,6.0,7.0,4.25,1.0,2.0,10.0,4.0,1.96,3.5,1.0,2.0,2.0,1.5,1.5,6.0,1.0,1.5,1.0,1.0,1.5,non_sids
