State,"Number
Hospitals","Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)",population,ratio
WA - Washington,60,"10,262","473,570","2,723,022","$79,480,472","7,785,786",758.7006431
VT - Vermont,7,867,"35,791","199,524","$5,064,503","647,064",746.3252595
ID - Idaho,18,"2,651","110,696","520,819","$16,180,766","1,939,033",731.434553
CO - Colorado,59,"8,396","383,986","1,979,070","$86,250,548","5,839,926",695.560505
UT - Utah,36,"4,937","212,265","908,508","$26,530,545","3,380,800",684.788333
MP - Northern Mariana Islands,1,74,"3,384","15,548",$0,"49,587",670.0945946
OR - Oregon,36,"6,355","294,764","1,495,443","$34,103,416","4,240,137",667.2127459
MD - Maryland,51,"10,648","491,148","2,790,910","$20,343,154","6,164,660",578.9500376
AK - Alaska,11,"1,288","44,563","259,101","$6,830,852","733,583",569.5520186
HI - Hawaii,14,"2,538","84,015","537,091","$10,999,677","1,440,196",567.4531127
MN - Minnesota,54,"10,217","445,205","2,213,786","$52,225,057","5,717,184",559.5756093
NM - New Mexico,37,"3,877","168,474","828,409","$21,238,892","2,113,344",545.097756
NV - Nevada,31,"5,882","285,128","1,583,288","$58,700,135","3,177,772",540.2536552
AZ - Arizona,76,"13,870","600,818","3,048,838","$95,342,992","7,359,197",530.5837779
CA - California,336,"74,451","2,971,759","14,888,488","$588,713,813","39,029,342",524.2285799
WI - Wisconsin,87,"11,255","450,699","2,314,549","$70,605,944","5,892,539",523.5485562
MT - Montana,15,"2,237","78,148","406,617","$8,678,407","1,122,867",501.9521681
IA - Iowa,38,"6,386","247,614","1,243,254","$29,713,407","3,200,517",501.1771062
TX - Texas,368,"59,982","2,692,861","13,367,589","$420,307,860","30,029,572",500.6430596
VA - Virginia,89,"17,402","684,850","3,644,410","$99,085,738","8,683,619",499.0012068
GA - Georgia,112,"22,390","892,946","5,147,275","$135,051,334","10,912,876",487.3995534
MA - Massachusetts,72,"14,375","679,535","3,592,452","$78,569,488","6,981,974",485.7025391
ME - Maine,19,"2,862","98,513","565,967","$13,705,966","1,385,340",484.0461216
DE - Delaware,8,"2,112","95,952","555,739","$9,594,813","1,018,396",482.1950758
SC - South Carolina,66,"11,157","488,675","2,513,140","$74,817,430","5,282,634",473.4815811
VI - Virgin Islands,2,226,"5,229","32,446","$256,891","106,290",470.3097345
NC - North Carolina,110,"22,901","954,580","5,243,638","$122,966,604","10,698,973",467.1836601
NJ - New Jersey,76,"20,232","854,462","4,358,453","$135,315,527","9,261,699",457.7747628
WY - Wyoming,14,"1,278","30,055","127,793","$3,623,923","581,381",454.9147105
IL - Illinois,139,"27,910","1,127,015","5,771,762","$168,455,618","12,582,032",450.8073092
RI - Rhode Island,11,"2,434","101,206","518,313","$10,691,359","1,093,734",449.3566146
KS - Kansas,56,"6,553","258,654","1,250,302","$41,569,154","2,937,150",448.2145582
NE - Nebraska,27,"4,397","159,381","830,972","$18,125,777","1,967,923",447.5603821
NH - New Hampshire,14,"3,165","95,964","518,664","$16,289,499","1,395,231",440.8312796
IN - Indiana,98,"15,534","655,618","3,223,022","$95,066,237","6,833,037",439.876207
MI - Michigan,102,"22,910","941,861","4,870,090","$112,497,274","10,034,113",437.9796159
OH - Ohio,147,"27,647","1,185,728","5,832,335","$172,181,709","11,756,058",425.2200239
GU - Guam,3,407,"9,732","78,413","$536,835","169,231",415.8009828
CT - Connecticut,35,"8,722","342,235","1,776,704","$44,868,741","3,626,205",415.7538409
PR - Puerto Rico,53,"8,005","259,205","1,557,969","$4,821,766","3,221,789",402.47208
OK - Oklahoma,88,"10,006","391,876","1,965,111","$57,144,929","4,019,800",401.7389566
FL - Florida,221,"57,018","2,487,846","12,795,032","$418,937,004","22,244,823",390.1368515
AR - Arkansas,52,"7,859","306,902","1,504,315","$30,190,158","3,045,637",387.5349281
ND - North Dakota,10,"2,023","73,468","381,127","$10,133,445","779,261",385.200692
TN - Tennessee,96,"18,752","769,090","4,068,137","$103,300,133","7,051,339",376.0313033
PA - Pennsylvania,181,"35,179","1,381,180","7,213,571","$244,571,220","12,972,008",368.7429432
MO - Missouri,81,"17,164","661,108","3,412,485","$89,996,377","6,177,957",359.9369028
AS - American Samoa,1,131,"4,607","28,024","$68,160","46,189",352.5877863
NY - New York,186,"57,647","2,060,633","11,931,951","$315,771,821","19,677,151",341.338682
KY - Kentucky,73,"13,221","512,089","2,610,155","$69,472,691","4,512,310",341.2986915
AL - Alabama,90,"15,046","526,562","2,899,054","$70,478,557","5,074,296",337.25216
WV - West Virginia,34,"5,372","193,454","1,066,811","$23,237,031","1,775,156",330.4460164
SD - South Dakota,23,"2,797","94,800","430,631","$14,680,112","909,824",325.2856632
LA - Louisiana,111,"14,719","476,991","2,513,590","$66,083,302","4,590,241",311.8582105
DC - Washington D.C.,7,"2,161","84,846","577,864","$14,678,409","671,803",310.8759833
MS - Mississippi,70,"9,606","309,763","1,512,519","$39,263,459","2,940,057",306.0646471